"Table with row headers in column A and column headers in row 8, repeated in row 48. Leading dots indicate sub-parts.",,,,,,,,,
Census 2000 PHC-T-39,,,,,,,,,
Table 1: Educational Attainment of the Population 15 Years and Over by Age: 2000,,,,,,,,,
Geographic area: United States,,,,,,,,,
"All race and ethnic groups, both sexes",,,,,,,,,
"(Data based on a sample.  For information on confidentiality protection, sampling error, nonsampling error and definitions, see www.census.gov/prod/cen2000/doc/sf3.pdf.)",,,,,,,,,
,,,,,,,,,
Age,Total,No schooling completed,Nursery school-4th grade,5th-6th grade,7th-8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma"
..Total ,"221,148,671","2,880,924","1,489,087","3,882,370","8,886,161","8,660,547","10,031,338","9,613,226","8,627,452"
,,,,,,,,,
15 to 19 years ,"19,911,052","83,861","34,089","160,741","2,294,978","3,694,075","3,911,298","3,658,702","997,188"
.15 years ,"3,980,594","10,230","2,187","38,812","1,790,242","1,625,019","444,621","43,147","9,368"
.16 years ,"3,919,821","11,943","3,175","22,274","283,254","1,560,440","1,540,790","418,730","30,109"
.17 years ,"3,969,107","15,378","4,623","26,533","94,738","278,038","1,481,548","1,502,696","282,958"
.18 years ,"4,025,246","20,421","6,543","33,238","63,999","123,795","283,294","1,378,026","437,152"
.19 years ,"4,016,284","25,889","17,561","39,884","62,745","106,783","161,045","316,103","237,601"
20 to 24 years ,"19,025,980","179,103","65,486","271,351","293,456","473,593","613,925","766,945","856,689"
.20 years ,"4,056,413","33,634","13,479","46,303","60,980","105,230","147,538","193,688","201,643"
.21 years ,"3,836,406","33,934","11,833","49,148","58,857","96,914","129,530","160,452","174,576"
.22 years ,"3,764,346","37,431","12,891","55,743","57,894","93,482","121,227","146,642","166,012"
.23 years ,"3,698,614","37,841","13,469","58,145","56,686","89,247","112,682","135,690","158,076"
.24 years ,"3,670,201","36,263","13,814","62,012","59,039","88,720","102,948","130,473","156,382"
25 to 29 years ,"19,212,244","195,933","77,846","328,819","308,382","446,248","485,585","569,795","745,107"
30 to 34 years ,"20,365,113","221,655","85,112","334,460","328,165","435,773","479,854","548,523","781,402"
35 to 39 years ,"23,083,337","260,609","104,859","338,951","355,394","445,744","565,967","616,894","846,061"
40 to 44 years ,"22,822,134","269,132","113,656","321,613","346,592","393,647","526,531","563,735","798,908"
45 to 49 years ,"20,181,127","249,071","114,457","274,465","340,584","318,063","411,354","421,363","625,156"
50 to 54 years ,"17,397,482","219,778","111,156","249,800","383,217","310,847","391,968","357,089","517,282"
