"Table with row headers in column A and column headers in row 8, repeated in row 48. Leading dots indicate sub-parts.",,,,,,,,,
Census 2000 PHC-T-39,,,,,,,,,
Table 1: Educational Attainment of the Population 15 Years and Over by Age: 2000,,,,,,,,,
Geographic area: United States,,,,,,,,,
"All race and ethnic groups, female",,,,,,,,,
"(Data based on a sample.  For information on confidentiality protection, sampling error, nonsampling error and definitions, see www.census.gov/prod/cen2000/doc/sf3.pdf.)",,,,,,,,,
,,,,,,,,,
Age,Total,No schooling completed,Nursery school-4th grade,5th-6th grade,7th-8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma"
..Total ,"114,121,266","1,442,770","740,703","1,871,164","4,452,516","4,241,852","5,014,899","4,828,742","4,244,478"
,,,,,,,,,
15 to 19 years ,"9,667,312","34,057","13,102","58,582","1,009,245","1,744,980","1,884,597","1,776,840","474,595"
.15 years ,"1,935,471","4,603",967,"15,521","807,937","835,323","236,654","21,971","4,597"
.16 years ,"1,898,232","5,047","1,142","8,533","111,454","712,171","795,017","225,281","15,112"
.17 years ,"1,917,686","5,994","1,404","9,435","38,001","106,166","676,702","778,347","150,481"
.18 years ,"1,954,360","8,150","2,217","11,225","26,310","48,775","111,132","625,123","204,932"
.19 years ,"1,961,563","10,263","7,372","13,868","25,543","42,545","65,092","126,118","99,473"
20 to 24 years ,"9,320,001","70,943","23,958","96,392","120,732","195,466","258,880","328,275","361,313"
.20 years ,"1,977,956","13,152","4,954","14,913","24,810","41,932","59,535","81,675","85,312"
.21 years ,"1,873,654","13,200","4,285","16,497","23,216","39,608","55,304","67,468","72,989"
.22 years ,"1,842,305","14,841","4,587","19,864","23,920","39,130","51,416","62,841","69,244"
.23 years ,"1,816,105","15,209","5,034","21,400","23,482","37,183","48,743","59,415","67,139"
.24 years ,"1,809,981","14,541","5,098","23,718","25,304","37,613","43,882","56,876","66,629"
25 to 29 years ,"9,529,318","82,305","31,257","133,350","132,758","197,069","213,272","249,733","321,779"
30 to 34 years ,"10,145,302","97,533","35,827","143,249","146,601","195,249","213,652","241,861","340,023"
35 to 39 years ,"11,611,715","117,581","47,178","152,205","157,195","200,865","251,451","273,807","375,346"
40 to 44 years ,"11,496,141","123,847","52,738","149,968","158,099","178,944","237,547","252,110","360,364"
45 to 49 years ,"10,256,162","119,114","55,226","131,577","159,369","151,523","196,736","206,067","300,402"
50 to 54 years ,"8,896,870","109,137","55,253","123,338","179,709","154,802","203,581","192,230","268,026"
55 to 59 years ,"6,928,442","100,234","51,845","108,899","198,072","164,331","227,883","209,090","246,719"
60 to 64 years ,"5,673,401","103,904","58,981","118,502","225,337","172,793","242,708","215,925","233,867"
65 to 69 years ,"5,153,797","110,566","64,231","124,674","281,159","184,332","254,675","216,282","225,845"
70 to 74 years ,"4,991,777","113,378","68,219","138,598","359,205","197,576","269,614","233,755","235,362"
75 to 79 years ,"4,377,481","99,441","66,598","134,425","403,848","184,291","225,627","194,850","208,039"
80 to 84 years ,"3,116,362","72,326","51,817","112,117","400,096","159,843","172,043","131,450","150,961"
85 years and over ,"2,957,185","88,404","64,473","145,288","521,091","159,788","162,633","106,467","141,837"
,,,,,,,,,
25 years and over ,"95,133,953","1,337,770","703,643","1,716,190","3,322,539","2,301,406","2,871,422","2,723,627","3,408,570"
Note: - Represents zero or rounds to zero.,,,,,,,,,
"Internet release date: October, 2006",,,,,,,,,
"Source: U.S. Census Bureau, Census 2000",,,,,,,,,
,,,,,,,,,
Census 2000 PHC-T-39,,,,,,,,,
Table 1: Educational Attainment of the Population 15 Years and Over by Age: 2000 (Continued),,,,,,,,,
Geographic area: United States,,,,,,,,,
"All race and ethnic groups, female",,,,,,,,,
"(Data based on a sample.  For information on confidentiality protection, sampling error, nonsampling error and definitions, see www.census.gov/prod/cen2000/doc/sf3.pdf.)",,,,,,,,,
,,,,,,,,,
Age,High school graduate,Less than 1 year college,College 1 year or more,Associate degree,Bachelor's degree,Master's degree,Professional degree,Doctoral degree,
..Total ,"31,840,877","8,774,508","16,625,912","7,070,305","15,434,947","5,585,550","1,397,242","554,801",
,,,,,,,,,
15 to 19 years ,"1,250,684","775,377","619,015","21,601","4,632",5,- ,-,
.15 years ,"5,876","2,022",- ,- ,- ,- ,- ,-,
.16 years ,"17,502","3,999","2,606",363,- ,5,- ,-,
.17 years ,"122,616","20,156","7,687",697,- ,- ,- ,-,
